season,gameweek,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,penalties_missed,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,future_points,goals_scored_last_3,assists_last_3,minutes_last_3,bonus_last_3,total_points_last_3,goals_per_90,assists_per_90,xg_per_90,xa_per_90,involvements_per_90,expected_involvements,goal_efficiency,attacking_threat
2023-24,4,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,14,0,49814,0.0,0,-9696,2558,12254,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,5,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-09-17T15:30:00Z,0,9,0,37048,0.0,0,-12786,0,12786,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,6,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,18,0,32878,0.0,0,-4527,0,4527,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,7,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,3,0,29679,0.0,0,-3132,0,3132,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,8,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-10-08T15:30:00Z,0,13,0,27390,0.0,0,-2349,0,2349,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,9,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,7,0,26039,0.0,0,-1453,0,1453,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,10,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,17,0,24948,0.0,0,-1085,0,1085,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,11,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-11-04T17:30:00Z,0,15,0,24152,0.0,0,-809,0,809,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,12,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,6,0,23422,0.0,0,-729,0,729,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,13,Folarin Balogun,FWD,Arsenal,0.0,0,0,0,0,0.0,0,0,0.0,0.0,2023-11-25T17:30:00Z,0,4,0,22774,0.0,0,-652,0,652,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
