season,gameweek,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,fixture,goals_conceded,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,expected_assists,expected_goals_conceded,starts,future_points
2022-23,1,Aaron Ramsdale,GK,Arsenal,3.6,0,0,25,1,0.0,1,0,1.9,19.0,2022-08-05T19:00:00Z,90,7,0,0,2,1128297,6,0,0,0,50,0,0.0,0.0,0.0,1.0
2022-23,1,Adrián San Miguel del Castillo,GK,Liverpool,2.5,0,0,0,0,0.0,4,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,62020,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,Alex McCarthy,GK,Southampton,1.7,0,0,0,0,0.0,8,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,25036,0,0,0,0,45,0,0.0,0.0,0.0,0.0
2022-23,1,Alisson Ramses Becker,GK,Liverpool,5.5,0,0,11,0,0.0,4,2,0.8,8.2,2022-08-06T11:30:00Z,90,9,0,0,1,1567712,1,0,0,0,55,0,0.0,0.0,0.0,2.0
2022-23,1,Alphonse Areola,GK,West Ham,1.2,0,0,2,0,0.0,10,2,0.0,0.0,2022-08-07T15:30:00Z,61,13,0,0,0,109416,1,0,0,0,45,0,0.0,0.0,0.0,0.0
2022-23,1,Asmir Begović,GK,Everton,0.4,0,0,0,0,0.0,3,0,0.0,0.0,2022-08-06T16:30:00Z,0,6,0,0,0,45783,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,Bernd Leno,GK,Fulham,0.7,0,0,0,0,0.0,4,0,0.0,0.0,2022-08-06T11:30:00Z,0,12,0,0,0,116351,0,0,0,0,45,0,0.0,0.0,0.0,0.0
2022-23,1,Brandon Austin,GK,Spurs,1.5,0,0,0,0,0.0,8,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,27621,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,Brice Samba,GK,Nott'm Forest,0.0,0,0,0,0,0.0,7,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,345,0,0,0,0,45,0,0.0,0.0,0.0,0.0
2022-23,1,Caoimhin Kelleher,GK,Liverpool,0.0,0,0,0,0,0.0,4,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,20766,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,Daniel Iversen,GK,Leicester,1.0,0,0,0,0,0.0,6,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,248388,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,Danny Ward,GK,Leicester,1.0,0,0,11,0,0.0,6,2,1.0,9.8,2022-08-07T13:00:00Z,90,4,0,0,1,1983925,1,0,0,0,40,0,0.0,0.0,0.0,1.0
2022-23,1,Darren Randolph,GK,West Ham,0.0,0,0,0,0,0.0,10,0,0.0,0.0,2022-08-07T15:30:00Z,0,13,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,David De Gea Quintana,GK,Man Utd,3.6,0,0,11,0,0.0,9,2,2.1,20.8,2022-08-07T13:00:00Z,90,5,0,0,2,602310,1,0,0,0,50,0,0.0,0.0,0.0,1.0
2022-23,1,David Raya Martin,GK,Brentford,2.2,0,0,15,0,0.0,6,2,2.0,19.8,2022-08-07T13:00:00Z,90,10,0,0,3,495719,2,0,0,0,45,0,0.0,0.0,0.0,7.0
2022-23,1,Dean Henderson,GK,Nott'm Forest,1.7,0,0,26,0,0.0,7,2,4.8,48.0,2022-08-06T14:00:00Z,90,15,0,0,7,434219,3,0,0,0,45,0,0.0,0.0,0.0,14.0
2022-23,1,Ederson Santana de Moraes,GK,Man City,5.0,0,1,26,1,0.0,10,0,1.4,14.4,2022-08-07T15:30:00Z,90,19,0,0,1,1240294,7,0,0,0,55,0,0.0,0.0,0.0,6.0
2022-23,1,Edouard Mendy,GK,Chelsea,3.6,0,0,28,1,0.0,3,0,2.8,27.8,2022-08-06T16:30:00Z,90,8,0,0,3,1595369,7,0,0,0,50,0,0.0,0.0,0.0,1.0
2022-23,1,Ellery Balcombe,GK,Brentford,0.0,0,0,0,0,0.0,6,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,15896,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,Emiliano Martínez Romero,GK,Aston Villa,3.6,0,0,10,0,0.0,2,2,0.9,9.2,2022-08-06T14:00:00Z,90,3,0,0,1,476293,1,0,0,0,50,0,0.0,0.0,0.0,3.0
2022-23,1,Fraser Forster,GK,Spurs,1.5,0,0,0,0,0.0,8,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,525074,0,0,0,0,40,0,0.0,0.0,0.0,0.0
2022-23,1,Gavin Bazunu,GK,Southampton,1.7,0,0,20,0,0.0,8,4,3.4,33.6,2022-08-06T14:00:00Z,90,18,0,0,5,57701,1,0,0,0,45,0,0.0,0.0,0.0,2.0
2022-23,1,Hugo Lloris,GK,Spurs,4.5,0,0,10,0,0.0,8,1,1.1,10.8,2022-08-06T14:00:00Z,90,17,0,0,1,379701,2,0,0,0,55,0,0.0,0.0,0.0,1.0
2022-23,1,Illan Meslier,GK,Leeds,1.7,0,0,19,0,0.0,5,1,3.9,38.8,2022-08-06T14:00:00Z,90,20,0,0,5,204130,3,0,0,0,45,0,0.0,0.0,0.0,1.0
